ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
159,0.2669153,0.13691688,0.0671277,0.028271142,0.49381033,0.06392076,0.0045020585,0.39670324,0.21267338,0.19097623,0.007436453,0.017244838,0.2053524,0.006781743,0.023623865,0.06208368,6.506731e-05,0.044073205,0.07061203,0.006210279,0.045829553,0.23511486,0.027927972,0.09543678
161,0.05361193,0.055968434,0.30308637,0.020661931,0.6175875,0.060923994,0.016560575,0.1586512,0.19945198,0.31467026,0.012579683,0.011642543,0.538614,0.020984452,0.07302211,0.14036001,0.0006885917,0.14408648,0.15098642,0.032014243,0.0052574496,0.11397412,0.013989728,0.019512529
162,0.043552265,0.06326677,0.1622916,0.014567614,0.5379923,0.027189879,0.00084985036,0.5513554,0.18232045,0.20285845,0.0041407035,0.0039206687,0.08830169,0.012527431,0.041816313,0.060388785,8.7498745e-05,0.17272279,0.038239535,0.006952748,0.0052652634,0.104036525,0.0071647763,0.044524133
163,0.16500492,0.014351498,0.028664894,0.111286215,0.24683206,0.50614184,0.021438671,0.76345414,0.04130589,0.025881812,0.030493332,0.017935503,0.03684717,0.017758586,0.019478362,0.05469764,0.000464308,0.072087385,0.03289615,0.021244496,0.056590702,0.23430748,0.027188314,0.021692647
182,0.070049815,0.015682982,0.025749259,0.04294238,0.54677224,0.12978202,0.0014934337,0.85323316,0.032057498,0.06343567,0.018177025,0.0080499975,0.016577918,0.016585624,0.074903555,0.053575456,3.1349373e-05,0.6979413,0.0042884853,0.001381712,0.006634416,0.15408388,0.028515413,0.022049177
187,0.14526565,0.024680732,0.035103686,0.008015807,0.34199595,0.22470647,0.00014997934,0.71682876,0.049899533,0.061027728,0.010047952,0.0031239693,0.20077841,0.003218511,0.008482913,0.06702116,5.2319474e-06,0.15546395,0.025902841,0.0019970834,0.0030453615,0.3298446,0.012702886,0.026302269
189,0.04027902,0.03595523,0.10446671,0.031922046,0.78636783,0.09764954,0.006343417,0.4660698,0.22137074,0.12326503,0.023597747,0.0057019563,0.09482662,0.038475487,0.069325626,0.05929108,0.00054283836,0.17764688,0.03370284,0.016421145,0.011888768,0.13111304,0.004723381,0.013034482
190,0.057147976,0.04314933,0.17266893,0.021563556,0.7278265,0.03933157,0.0027647086,0.38659206,0.20419584,0.1672903,0.0035561703,0.0032056298,0.09989,0.033924367,0.068806,0.06286658,1.26424275e-05,0.29418263,0.04656622,0.0026014948,0.010628627,0.1065719,0.0022263804,0.01719082
193,0.009294097,0.015262504,0.021299971,0.1718161,0.1271139,0.013262457,0.00606212,0.96359736,0.024110455,0.026823612,0.0146154985,0.02279143,0.015712962,0.0861604,0.034632087,0.04312967,5.6462977e-05,0.54524,0.018038211,0.0065295543,0.009719926,0.09331803,0.24823207,0.033853907
194,0.22376008,0.12230126,0.34535763,0.0067881057,0.22390458,0.08483716,0.0003987075,0.38949224,0.20497027,0.30898383,0.01521702,0.0024027831,0.47785783,0.0054550567,0.033685897,0.16865838,2.3724442e-05,0.032327116,0.34002596,0.003153666,0.0017570851,0.4597385,0.0041157105,0.02068339
197,0.020370258,0.00914319,0.0457545,0.080914825,0.6280714,0.045972098,0.047707595,0.61411333,0.042223882,0.042758916,0.019103779,0.0063854884,0.058941275,0.15204678,0.0872833,0.019210069,0.0012548735,0.6625556,0.03030244,0.036215544,0.028184662,0.10437999,0.030976932,0.016555002
201,0.09902722,0.012841781,0.008608847,0.028522871,0.13192196,0.2830168,0.004024649,0.71418583,0.011546785,0.019500919,0.0382944,0.020996125,0.15700561,0.007874896,0.0144303795,0.23449877,0.00019683807,0.11703059,0.00933871,0.008344616,0.0045199795,0.6441972,0.14623608,0.04601352
202,0.12099353,0.077863574,0.04483129,0.08311424,0.62044185,0.09216631,0.0019900259,0.7192515,0.121975124,0.09766198,0.029085012,0.008535646,0.040107124,0.023338746,0.10760232,0.07055512,0.00042658835,0.50944334,0.008857932,0.014447317,0.051981017,0.12670617,0.020773593,0.115504034
204,0.2983765,0.05377244,0.081639275,0.061372858,0.23909457,0.12724724,0.011488757,0.58883566,0.08442331,0.11048887,0.0144263925,0.03316424,0.08031359,0.016342789,0.014748723,0.068198,0.00013081581,0.18722129,0.10810134,0.0067811552,0.0072211046,0.28921205,0.10063385,0.11589741
206,0.03707079,0.016737882,0.036913007,0.020050552,0.4071729,0.031485908,0.0062856213,0.5954317,0.037806477,0.08463868,0.004993264,0.0044588386,0.18057577,0.017011954,0.03194108,0.07658936,1.2777918e-05,0.14720735,0.06772609,0.00338754,0.0035756142,0.22820778,0.02275158,0.014327182
207,0.033092506,0.038227666,0.056053903,0.081461444,0.4286873,0.04090043,0.082200564,0.6076621,0.09214597,0.06601742,0.008906399,0.03668173,0.052583773,0.05411599,0.048035495,0.036392797,0.0004988327,0.20820306,0.03309065,0.035010234,0.04112327,0.09551469,0.07902823,0.06345552
213,0.12617093,0.32475087,0.45022196,0.08390273,0.1830099,0.013343441,0.044468258,0.5475214,0.3896027,0.37644395,0.0039108335,0.07521709,0.10847698,0.025218867,0.036673285,0.04366698,0.00010013522,0.060673565,0.2855394,0.0064115357,0.02340511,0.07976684,0.05980774,0.08474192
224,0.10059543,0.042279232,0.049039815,0.103975676,0.17458335,0.16539957,0.024915138,0.7780201,0.058733847,0.03488999,0.019415308,0.035221506,0.02975871,0.018868487,0.0108017605,0.09507246,0.00016836819,0.15131232,0.021054482,0.010604726,0.008677335,0.20555203,0.10544303,0.07206551
225,0.21694234,0.06986759,0.030477138,0.04772885,0.15502797,0.0979507,0.005194424,0.836211,0.027433243,0.036412615,0.010327621,0.052476868,0.01577292,0.01268503,0.011709105,0.031088786,3.0896903e-05,0.18385611,0.024310792,0.0035470864,0.0060529476,0.30592328,0.5105798,0.12648056
226,0.07925764,0.035126146,0.189485,0.035908695,0.75907403,0.12055147,0.006439238,0.49070862,0.19485255,0.15127829,0.011061713,0.0114691695,0.101194486,0.049591713,0.046742674,0.024958408,0.00030825488,0.31086493,0.021242788,0.017151468,0.02548804,0.10784864,0.0075927074,0.07194624
232,0.45558864,0.093937784,0.26587585,0.04303136,0.29994634,0.17860156,0.0133396825,0.37975723,0.15860054,0.2294336,0.0036219452,0.027586535,0.10007665,0.016583245,0.02644283,0.07937488,3.0502084e-05,0.06854897,0.13568671,0.0034269989,0.0062341415,0.28225338,0.025679346,0.03860151
234,0.06464367,0.077911034,0.06089383,0.059035797,0.34346193,0.11563995,0.0037455524,0.85435367,0.095147006,0.06433703,0.04594008,0.034493625,0.013140241,0.033842396,0.09173129,0.08943942,0.000100191464,0.52760607,0.018458515,0.01010376,0.014536296,0.09394339,0.21187733,0.04437781
235,0.18098201,0.060330287,0.0879122,0.12924038,0.28078622,0.27691567,0.070196986,0.6449795,0.13943622,0.08254511,0.05324445,0.037626356,0.16363741,0.055265587,0.04510537,0.1256946,0.011457758,0.08745476,0.05960551,0.09222171,0.0665148,0.32077536,0.07353998,0.094723925
236,0.47369966,0.11758846,0.09908735,0.017902458,0.1907084,0.06096984,0.003507678,0.4377426,0.066781916,0.081300974,0.0051059765,0.022941744,0.050161775,0.013614975,0.009677438,0.039325763,1.3831567e-05,0.09632629,0.25165546,0.00177018,0.0011965676,0.3760949,0.10233642,0.12882258
249,0.7768029,0.118873835,0.08351968,0.061043683,0.10191575,0.5220712,0.009579148,0.65718156,0.060788915,0.03264498,0.028255813,0.07237319,0.01648809,0.02692164,0.010379352,0.07503467,4.895372e-05,0.02401138,0.25129688,0.0046640644,0.040283352,0.62823075,0.31454754,0.060192656
255,0.19202021,0.17671716,0.1725364,0.016273353,0.18105757,0.04425319,0.009396317,0.30187204,0.06750749,0.34227547,0.005372762,0.017362056,0.39195788,0.014696624,0.03877662,0.08025294,5.9093698e-05,0.046471104,0.28794694,0.0046211514,0.0019278032,0.28347906,0.026061943,0.056841966
258,0.50847536,0.13763079,0.09539273,0.03286872,0.16921735,0.54765224,0.0044787005,0.6376194,0.05243801,0.09332018,0.015949002,0.01833661,0.03863019,0.004435325,0.011422313,0.11571316,4.852176e-05,0.055449966,0.055801507,0.003994452,0.0049652928,0.43901312,0.03100818,0.034828283
260,0.11842044,0.13449879,0.06148173,0.117153995,0.122801386,0.041618265,0.18953578,0.4933499,0.0392486,0.12537381,0.0047950055,0.09109477,0.18884669,0.049824927,0.01686624,0.035854053,0.0009798128,0.050179534,0.059911955,0.028437056,0.012641134,0.15367329,0.14847156,0.061143596
262,0.19405067,0.27243772,0.09374555,0.041234054,0.32537955,0.060039673,0.009941044,0.39752924,0.106753774,0.13361424,0.0041326885,0.036760043,0.06262963,0.011076129,0.024415506,0.06931786,5.7378955e-05,0.12662129,0.035506934,0.0076658526,0.005370647,0.22073437,0.07860912,0.0664657
264,0.04922707,0.052359536,0.07520378,0.18971342,0.44084293,0.10602551,0.0681091,0.77370036,0.07984479,0.058932852,0.012692819,0.03012463,0.009819247,0.033786453,0.045508232,0.021711515,0.0007169304,0.15076725,0.01071809,0.019457534,0.2594921,0.048410077,0.09408733,0.06553591
269,0.07569666,0.031206695,0.043778557,0.03200502,0.42905092,0.078888185,0.00088882144,0.8018419,0.04384264,0.06849685,0.012305346,0.0049641575,0.036953934,0.013288554,0.058727734,0.040088095,1.7030838e-05,0.55116475,0.022162428,0.0020821325,0.0132332845,0.12793088,0.014338607,0.0390113
271,0.055445284,0.14086504,0.12731506,0.03557742,0.42524126,0.055040345,0.0038189308,0.7134644,0.20068084,0.119737424,0.005888117,0.0068246145,0.019848514,0.02382624,0.03301062,0.05077139,2.897578e-05,0.18807746,0.030577872,0.0073045166,0.011228498,0.073543146,0.028779691,0.022249207
276,0.4241242,0.4931057,0.31947356,0.018382056,0.26164752,0.045110416,0.0024722375,0.5496429,0.22913112,0.24602844,0.010147166,0.05010915,0.014190932,0.0043488066,0.054652464,0.029527169,5.6678393e-05,0.11648537,0.06415847,0.0044109654,0.0021126734,0.17993845,0.21492831,0.079073004
277,0.038887467,0.016980518,0.04285037,0.093998075,0.42661017,0.12546091,0.033876937,0.6966472,0.06024262,0.05430893,0.013110618,0.015594339,0.042545203,0.021318424,0.023570996,0.050513625,0.00019373433,0.18774098,0.014243474,0.008118754,0.037533637,0.11754461,0.052134443,0.03734855
281,0.044239055,0.05904737,0.26323232,0.019069336,0.67711526,0.023503223,0.0061916285,0.38004866,0.14901048,0.12081133,0.0050410046,0.006296239,0.046043266,0.02458343,0.039132047,0.04467633,2.9336736e-05,0.2655287,0.0675587,0.004236831,0.0040808544,0.08940729,0.016999144,0.032663815
282,0.056730974,0.023512298,0.027443932,0.04959253,0.11681455,0.070529155,0.0045751436,0.8828122,0.016488733,0.03407063,0.01260224,0.012969635,0.026925549,0.009036095,0.025875123,0.08346621,2.438081e-05,0.21878481,0.008452411,0.0021021233,0.0024931026,0.1497822,0.113712996,0.015587723
285,0.09262336,0.39500818,0.35540113,0.025016285,0.5233214,0.022669692,0.013535212,0.4887776,0.42889157,0.36090043,0.0075426786,0.018841764,0.099115744,0.026132757,0.14483137,0.05553347,0.00094675366,0.2360286,0.123882346,0.023355909,0.022866042,0.06394094,0.018067114,0.05315551
294,0.3701682,0.2152179,0.053658366,0.14185964,0.07095812,0.13639194,0.040126357,0.7025142,0.054687407,0.13470647,0.025978995,0.20012243,0.03273333,0.011130285,0.018221313,0.103059664,0.00040598537,0.073325135,0.08813607,0.014161272,0.012213644,0.35149786,0.5651737,0.10128632
301,0.06206024,0.069270715,0.13068451,0.06330265,0.70628744,0.11056994,0.0054650563,0.7699192,0.20517112,0.107497394,0.01595837,0.023090543,0.02687163,0.047939796,0.076419495,0.02383757,0.00057726394,0.23963226,0.016318163,0.04179061,0.07768287,0.0746195,0.044055495,0.06946962
302,0.08641126,0.057558067,0.065581344,0.030791229,0.29998147,0.098816805,0.0007328675,0.74063516,0.06493662,0.081340134,0.012817431,0.015221515,0.036749292,0.013440763,0.01564719,0.06488448,3.380042e-06,0.21470398,0.014248804,0.0012224716,0.0010100926,0.26942855,0.069762334,0.066130966
306,0.19171092,0.039356798,0.03847542,0.06322209,0.5442401,0.226907,0.0042160447,0.6167545,0.040823508,0.044496205,0.01684013,0.014304413,0.028114665,0.01486983,0.027424982,0.08644838,3.462372e-05,0.2759094,0.011267423,0.0088782,0.008570761,0.3010029,0.07871613,0.041938648
317,0.07988652,0.020018231,0.019190775,0.1329603,0.2859487,0.11379226,0.21031035,0.6835777,0.018322488,0.019000951,0.00983747,0.01814569,0.018229427,0.15713565,0.021015136,0.0145171555,0.00034370396,0.13738506,0.050809164,0.021259857,0.02092154,0.15551844,0.22939998,0.026291994
329,0.3253317,0.06711338,0.034752455,0.03373716,0.26837194,0.35058263,0.003524636,0.6152122,0.036249746,0.053653836,0.010429037,0.0048595057,0.049338926,0.009434199,0.01506144,0.052143097,3.661401e-05,0.06916393,0.041307643,0.0047087055,0.004599361,0.40550998,0.009696331,0.060705855
331,0.48314798,0.41328144,0.6123766,0.007204694,0.2505382,0.026881507,0.0018294478,0.11544677,0.5362036,0.73069847,0.0023967037,0.0042969203,0.8381719,0.006723148,0.026518522,0.06670897,4.2534433e-05,0.013152676,0.7635738,0.007659236,0.0071373195,0.30859718,0.0023474968,0.036733814
